Student id, % Result, Total Movements, Avg t to Answering, Avg t to Reviewg, Num Q Gussed, Num Q Uncertin, Num Q Ans Changed, % Q Answered, Avg Q Visits Before Final Ans, Num Skips,Avg t Correct Ans, Avg t Wrong Ans,Num W to R,Num R to W,Num W to W 
116,72.22,152, 00:01:19.3333333, 00:00:34,8,8,9,100,0.1875,0, 00:02:45.6000000, 00:00:46.1538462,5,5,3
117,82.22,527, 00:00:52.6666667, 00:01:07.3333333,26,7,13,100,0.68,11, 00:02:18.7500000, 00:00:34.0540541,11,10,7
118,65.56,377, 00:00:44, 00:00:25.3333333,16,0,7,100,0.5,23, 00:00:54.1935484, 00:00:38.6440678,5,5,1
119,73.33,376, 00:00:30, 00:00:30,27,1,13,100,0.12195122,1, 00:00:37.5000000, 00:00:27.2727273,7,5,3
120,86.67,369, 00:00:28, 00:00:38,29,1,7,100,0.355555556,4, 00:00:45, 00:00:25.3846154,10,3,1
121,72.22,372, 00:00:55.3333333, 00:00:32.6666667,11,0,7,100,0.079365079,3, 00:01:19.2000000, 00:00:46.1538462,5,1,1
122,68.89,372, 00:00:40.6666667, 00:00:35.3333333,18,1,13,100,0.170212766,2, 00:01:04.2857143, 00:00:30,8,5,7
123,84.44,503, 00:00:40.6666667, 00:00:51.3333333,18,2,12,100,0.164705882,2, 00:01:00, 00:00:37.1052632,13,3,3
124,81.11,539, 00:01:00.6666667, 00:00:36.6666667,16,4,5,100,0.807017544,35, 00:01:56.4705882, 00:00:47.6712329,4,2,2
125,88.89,470, 00:00:56, 00:00:33.3333333,14,3,5,100,0.846153846,32, 00:01:48, 00:00:49.5000000,4,0,1
126,66.67,645, 00:00:42, 00:00:41.3333333,21,5,27,100,0.627118644,5, 00:00:54, 00:00:36,20,10,15
127,82.22,616, 00:00:39.3333333, 00:00:53.3333333,18,0,9,100,0.557692308,4, 00:00:45, 00:00:38.1081081,9,2,0
128,84.44,590, 00:00:37.3333333, 00:00:59.3333333,21,2,8,100,0.428571429,1, 00:01:08.5714286, 00:00:31.5789474,5,5,1
129,76.67,397, 00:01:00, 00:00:31.3333333,19,7,12,100,0.454545455,20, 00:01:22.8571429, 00:00:53.0434783,8,4,2
130,74.44,415, 00:00:53.3333333, 00:00:47.3333333,19,3,11,100,0.454545455,5, 00:01:07.8260870, 00:00:48.3582090,9,4,3
131,85.56,521, 00:00:42.6666667, 00:01:10.6666667,29,6,21,100,0.612244898,2, 00:01:27.6923077, 00:00:35.0649351,21,6,5
132,78.89,503, 00:00:48, 00:00:50,17,2,19,100,0.333333333,3, 00:01:12.6315789, 00:00:41.4084507,10,7,5
133,83.33,543, 00:00:57.3333333, 00:00:46.6666667,18,6,14,100,1.015625,45, 00:01:56, 00:00:45.6000000,15,3,2
134,78.89,463, 00:00:41.3333333, 00:01:02.6666667,26,3,15,100,0.571428571,17, 00:01:00, 00:00:36.3380282,13,6,7
135,92.22,144, 00:01:08.6666667, 00:00:22,12,3,3,100,0.0625,1, 00:03:00, 00:00:59.2771084,2,1,1
136,75.56,309, 00:00:56.6666667, 00:00:42,11,4,16,100,0.292307692,18, 00:01:32.7272727, 00:00:45,12,2,7
137,84.44,421, 00:00:57.3333333, 00:00:43.3333333,15,4,14,100,0.210526316,1, 00:01:47.1428571, 00:00:48.1578947,11,4,5
138,88.89,468, 00:00:44.6666667, 00:00:43.3333333,16,0,2,100,0.136363636,9, 00:00:48, 00:00:44.2500000,2,0,0
139,61.11,604, 00:00:46.6666667, 00:00:57.3333333,21,5,15,100,0.964285714,9, 00:01:00, 00:00:38.1818182,11,4,5
140,78.89,412, 00:00:45.3333333, 00:00:50.6666667,22,2,8,100,0.26,5, 00:00:56.8421053, 00:00:42.2535211,9,4,3
141,88.89,429, 00:00:52.6666667, 00:00:46,17,4,8,100,0.185185185,8, 00:02:24, 00:00:41.2500000,6,2,0
142,78.89,461, 00:00:50.6666667, 00:00:48,20,2,17,100,0.326086957,2, 00:01:37.8947368, 00:00:38.0281690,11,5,7
143,87.78,460, 00:00:29.3333333, 00:01:08,35,2,10,100,0.625,3, 00:01:10.9090909, 00:00:23.5443038,11,3,0
144,80,489, 00:00:39.3333333, 00:00:54.6666667,22,4,11,100,0.744680851,16, 00:01:13.3333333, 00:00:30.8333333,6,5,1
145,73.33,311, 00:00:40.6666667, 00:00:18,23,3,12,100,0.15625,2, 00:01:12.5000000, 00:00:29.0909091,7,5,8
146,82.22,613, 00:00:36, 00:01:03.3333333,26,2,21,100,0.680851064,10, 00:00:45, 00:00:34.0540541,16,6,3
147,72.22,346, 00:01:14.6666667, 00:00:19.3333333,4,4,6,100,0.164383562,10, 00:01:40.8000000, 00:01:04.6153846,3,2,2
148,84.44,471, 00:00:41.3333333, 00:00:52.6666667,19,2,10,100,0.70212766,28, 00:01:12.8571429, 00:00:35.5263158,6,3,4
149,68.89,399, 00:00:58, 00:00:38.6666667,13,3,15,100,0.373134328,16, 00:01:10.7142857, 00:00:52.2580645,10,2,3
150,66.67,387, 00:01:14, 00:00:21.3333333,14,8,5,100,1.307692308,83, 00:01:58, 00:00:52,1,4,2
151,83.33,500, 00:00:53.3333333, 00:00:36.6666667,19,5,6,100,1.431372549,57, 00:01:48, 00:00:42.4000000,5,1,0
152,71.11,134, 00:01:11.3333333, 00:00:26.6666667,21,3,9,100,0.175,2, 00:02:09.2307692, 00:00:47.8125000,7,2,0
153,85.56,392, 00:00:45.3333333, 00:00:44.6666667,13,2,10,100,0.1875,2, 00:01:04.6153846, 00:00:42.0779221,8,0,2
154,64.44,397, 00:01:04.6666667, 00:00:39.3333333,13,3,14,100,0.515625,11, 00:01:18.7500000, 00:00:56.8965517,9,7,4
155,80,443, 00:00:35.3333333, 00:00:56,22,2,8,100,0.357142857,13, 00:00:46.6666667, 00:00:32.5000000,7,1,2
156,83.33,345, 00:00:47.3333333, 00:00:26.6666667,16,3,9,100,0.111111111,0, 00:01:24, 00:00:40,6,3,3
157,82.22,428, 00:00:48, 00:00:48.6666667,13,3,14,100,0.260869565,1, 00:01:22.5000000, 00:00:40.5405405,10,3,2
158,68.89,161, 00:01:22.6666667, 00:00:12.6666667,14,14,7,100,0.639344262,35, 00:01:53.5714286, 00:01:08.7096774,2,4,1
159,72.22,357, 00:00:44.6666667, 00:00:48,18,3,13,100,0.185185185,2, 00:00:43.2000000, 00:00:45.2307692,10,3,1
160,78.89,504, 00:00:42.6666667, 00:00:54,22,4,14,100,0.471698113,13, 00:01:00, 00:00:38.0281690,9,6,3
161,62.22,495, 00:01:04, 00:00:33.3333333,14,5,20,100,0.646153846,16, 00:01:26.4705882, 00:00:50.3571429,11,5,10
162,57.78,409, 00:01:06, 00:00:36.6666667,13,7,14,100,0.338235294,4, 00:01:14.2105263, 00:01:00,12,4,7
163,88.89,349, 00:00:57.3333333, 00:00:38.6666667,12,2,11,100,0.288135593,11, 00:00:36, 00:01:00,13,0,0
164,92.22,819, 00:00:46, 00:00:53.3333333,18,1,15,100,1.828125,55, 00:01:08.5714286, 00:00:44.0963855,20,4,2
165,74.44,402, 00:00:38, 00:00:30,19,3,12,100,0.413043478,1, 00:00:57.3913043, 00:00:31.3432836,8,2,4
166,71.11,310, 00:01:01.3333333, 00:00:30,6,3,8,100,0.055555556,2, 00:01:09.2307692, 00:00:58.1250000,8,2,1
167,84.44,441, 00:00:47.3333333, 00:00:50,16,3,4,100,0.5,16, 00:02:00, 00:00:33.9473684,3,1,5
168,78.89,441, 00:00:42.6666667, 00:00:46,19,1,10,100,0.243243243,5, 00:00:47.3684211, 00:00:41.4084507,6,4,2
169,84.44,455, 00:00:48.6666667, 00:00:50.6666667,16,3,12,100,0.219512195,7, 00:01:42.8571429, 00:00:38.6842105,11,4,2
170,81.11,401, 00:00:40.6666667, 00:00:49.3333333,18,1,8,100,0.137931034,6, 00:01:03.5294118, 00:00:35.3424658,6,1,1
171,70,628, 00:00:46.6666667, 00:00:58.6666667,21,3,19,100,1.174603175,37, 00:01:24.4444444, 00:00:30.4761905,8,9,5
172,73.33,423, 00:00:48.6666667, 00:00:48,20,4,8,100,0.339285714,13, 00:01:22.5000000, 00:00:36.3636364,9,3,1
173,77.78,451, 00:00:53.3333333, 00:00:43.3333333,21,3,11,100,0.692307692,22, 00:01:12, 00:00:48,8,2,4
174,78.89,387, 00:00:58.6666667, 00:00:53.3333333,21,7,18,100,0.480769231,5, 00:01:56.8421053, 00:00:43.0985915,13,7,4
175,87.78,405, 00:00:40.6666667, 00:00:49.3333333,18,1,8,100,0.403225806,22, 00:00:43.6363636, 00:00:40.2531646,8,1,0
176,72.22,153, 00:01:17.3333333, 00:00:08,9,9,4,100,0.105263158,3, 00:01:52.8000000, 00:01:03.6923077,1,3,2
177,90,369, 00:00:44.6666667, 00:00:50.6666667,15,1,11,100,0.482142857,16, 00:01:20, 00:00:40.7407407,7,5,2
178,87.78,319, 00:00:54.6666667, 00:00:30.6666667,11,0,3,100,0.096774194,6, 00:01:00, 00:00:53.9240506,3,0,0
179,66.67,386, 00:00:50.6666667, 00:00:40.6666667,17,3,14,100,0.157894737,0, 00:01:08, 00:00:42,3,5,7
180,82.22,525, 00:00:41.3333333, 00:00:52.6666667,24,3,11,100,0.255813953,1, 00:00:45, 00:00:40.5405405,8,4,1
181,80,402, 00:00:37.3333333, 00:00:20.6666667,21,0,13,100,0.452830189,16, 00:00:56.6666667, 00:00:32.5000000,7,4,4
182,72.22,160, 00:01:19.3333333, 00:00:46,17,8,14,100,0.226415094,1, 00:02:48, 00:00:45.2307692,5,5,5
183,77.78,453, 00:00:44.6666667, 00:00:50,22,3,6,100,0.244897959,4, 00:01:15, 00:00:36,5,3,2
184,82.22,337, 00:00:52, 00:00:32.6666667,10,2,6,100,0.114285714,6, 00:01:22.5000000, 00:00:45.4054054,6,3,0
185,64.44,368, 00:00:36, 00:00:22,22,1,11,100,0.491525424,14, 00:00:45, 00:00:31.0344828,7,3,3
186,86.67,571, 00:00:38.6666667, 00:00:55.3333333,23,1,11,100,0.591836735,13, 00:01:00, 00:00:35.3846154,11,2,0
187,88.89,459, 00:00:42.6666667, 00:00:56.6666667,20,2,4,100,0.513513514,4, 00:01:18, 00:00:38.2500000,5,2,0
